Task1	Task2	Dep	Dup	Discussed	id_dep	SameProduct	SameComponent	SamePlatform	SameOs	Prox	SLDMs	SLSMs	ALs	Layers	Modules	CR
257825	260963	FALSE	FALSE	0	0	TRUE	TRUE	TRUE	TRUE	0.015592162	0	1	0	1	1	FALSE
257825	269803	FALSE	FALSE	0	0	FALSE	TRUE	TRUE	TRUE	0.015592162	4	1	0	1	1	FALSE
257825	259289	FALSE	FALSE	0	0	TRUE	TRUE	TRUE	TRUE	0.062368648	0	0	0	1	1	FALSE
257825	271018	FALSE	FALSE	0	0	TRUE	TRUE	TRUE	TRUE	0.031184324	1	1	2	1	1	FALSE
243741	269637	FALSE	FALSE	0	0	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	FALSE
257825	260485	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0.015592162	2	0	0	1	0	FALSE
243741	267514	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0	36	0	0	4	0	FALSE
257825	259791	FALSE	FALSE	0	0	TRUE	TRUE	TRUE	TRUE	0.218290269	0	0	0	1	1	FALSE
243741	266403	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0	0	0	2	0	0	FALSE
243741	251177	FALSE	FALSE	0	0	FALSE	FALSE	TRUE	TRUE	0	13	1	1	1	1	FALSE
243741	263814	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0	15	0	0	2	0	FALSE
257825	268524	FALSE	FALSE	0	0	FALSE	TRUE	TRUE	TRUE	0.07796081	2	2	0	1	1	FALSE
243741	245270	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0	0	0	0	0	0	FALSE
243741	258571	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0	1	0	3	1	0	FALSE
243741	244653	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0	63	0	2	1	0	FALSE
243741	261144	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0	21	0	2	1	0	FALSE
243741	261240	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0	7	0	0	1	0	FALSE
264612	271818	FALSE	FALSE	0	0	FALSE	FALSE	TRUE	TRUE	0.623686483	28	2	12	4	2	TRUE
204051	261236	FALSE	FALSE	0	0	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0	0	FALSE
204051	251987	FALSE	FALSE	0	0	TRUE	FALSE	FALSE	FALSE	0	7	0	0	2	0	FALSE
204051	263150	FALSE	FALSE	0	0	FALSE	FALSE	FALSE	FALSE	0	31	0	0	2	0	FALSE
204051	261231	FALSE	FALSE	0	0	TRUE	TRUE	FALSE	FALSE	0	3	0	1	2	1	FALSE
204051	261136	FALSE	FALSE	0	0	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0	0	FALSE
204051	245002	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	FALSE	0	2	0	1	2	0	FALSE
257825	265346	FALSE	FALSE	0	0	FALSE	TRUE	FALSE	FALSE	0.218290269	0	2	0	1	1	FALSE
261240	269637	FALSE	FALSE	0	0	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	FALSE
264612	264718	FALSE	FALSE	0	0	FALSE	FALSE	TRUE	TRUE	1.683953504	10	2	8	5	2	FALSE
264612	267112	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0.046776486	14	0	4	4	1	FALSE
204051	263151	FALSE	FALSE	0	0	FALSE	FALSE	FALSE	FALSE	0	2	0	0	1	0	FALSE
261240	263814	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0	1	0	0	1	0	FALSE
264612	271925	FALSE	FALSE	0	0	FALSE	FALSE	TRUE	TRUE	0.233882431	0	0	0	0	0	FALSE
204051	245186	FALSE	FALSE	0	0	FALSE	FALSE	FALSE	FALSE	0	3	0	0	2	0	FALSE
243741	244579	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0	55	0	3	1	1	FALSE
264612	268597	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0.093552972	4	0	2	2	1	FALSE
204051	245187	FALSE	FALSE	0	0	TRUE	FALSE	FALSE	FALSE	0.062368648	2	0	3	2	2	FALSE
261240	267514	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0	1	0	1	1	0	FALSE
264612	271019	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0.015592162	2	0	1	1	1	FALSE
204051	258712	FALSE	FALSE	0	0	TRUE	FALSE	FALSE	FALSE	0.015592162	17	0	4	3	1	FALSE
261240	266403	FALSE	FALSE	0	0	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	FALSE
243741	266752	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0	0	0	0	0	0	FALSE
243741	254982	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0	0	0	0	0	0	FALSE
243741	244442	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0	14	0	0	1	0	FALSE
243741	265562	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0	0	0	2	0	0	FALSE
243741	269425	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0	1	0	0	1	0	FALSE
204051	262674	FALSE	FALSE	0	0	TRUE	FALSE	FALSE	FALSE	0	0	0	0	1	1	FALSE
204051	263149	FALSE	FALSE	0	0	TRUE	FALSE	FALSE	FALSE	0	1	0	0	2	1	FALSE
204051	245189	FALSE	FALSE	0	0	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0	0	FALSE
244903	248364	FALSE	FALSE	0	0	TRUE	TRUE	TRUE	TRUE	0.015592162	4	7	3	2	1	FALSE
204051	258717	FALSE	FALSE	0	0	TRUE	FALSE	FALSE	FALSE	0.031184324	7	0	3	2	1	FALSE
244903	248490	FALSE	FALSE	0	0	TRUE	FALSE	FALSE	FALSE	0.686055131	3	4	11	2	1	FALSE
204051	259089	FALSE	FALSE	0	0	FALSE	FALSE	TRUE	FALSE	0	3	0	0	1	0	FALSE
244903	261944	FALSE	FALSE	0	0	TRUE	FALSE	FALSE	TRUE	0.015592162	1	9	1	2	1	FALSE
204051	256591	FALSE	FALSE	0	0	TRUE	FALSE	FALSE	FALSE	0	0	0	0	0	0	FALSE
244903	266693	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	TRUE	0.015592162	0	3	1	1	1	FALSE
204051	256784	FALSE	FALSE	0	0	TRUE	FALSE	TRUE	FALSE	0	0	0	0	1	1	FALSE
