task,create,start,end,assignee,status,reopened,length,priority,platform,os,product,component,severity
164221,11/11/2006 12:11,5/1/2008 17:17,3/3/2010 21:52,Frank,RESOLVED,0,671.1909722,P3,PC,Windows XP,Mylyn,Bugzilla,enhancement
165072,11/18/2006 8:47,5/10/2009 14:30,5/26/2009 23:53,Frank,RESOLVED,0,16.39097222,P3,All,All,Mylyn,Bugzilla,enhancement
168204,12/15/2006 9:24,12/10/2007 17:52,2/7/2012 20:22,Frank,RESOLVED,0,1520.104167,P2,Other,Linux,Mylyn Tasks,Bugzilla,enhancement
174413,2/16/2007 1:33,5/1/2009 8:55,5/15/2009 14:14,shawn.minto,RESOLVED,0,14.22152778,P2,PC,Windows XP,Mylyn,UI,enhancement
174681,2/19/2007 15:02,2/24/2009 22:27,4/12/2009 21:10,Frank,RESOLVED,0,46.94652778,P2,PC,Windows XP,Mylyn,Bugzilla,normal
189689,5/29/2007 11:05,9/15/2007 21:31,5/27/2009 14:03,11110000b,RESOLVED,0,619.6888889,P2,PC,Linux,Mylyn,Jira,major
197539,7/23/2007 15:48,10/23/2007 14:57,5/11/2009 21:45,Frank,VERIFIED,2,566.2833333,P3,PC,Windows XP,Mylyn,Bugzilla,normal
198716,8/2/2007 13:10,1/26/2009 9:50,4/1/2009 11:04,thomas.ehrnhoefer,RESOLVED,1,65.05138889,P3,Sun,Mac OS X,Mylyn,Jira,minor
199675,8/12/2007 9:18,5/28/2009 19:52,5/28/2009 20:40,steffen.pingel,RESOLVED,0,0.033333333,P2,PC,Windows XP,Mylyn,UI,enhancement
202879,9/11/2007 0:08,12/3/2007 11:56,5/7/2009 14:42,steffen.pingel,RESOLVED,0,521.1152778,P2,PC,All,Mylyn,Bugzilla,enhancement
205489,10/4/2007 13:46,6/20/2009 12:38,6/20/2009 12:40,steffen.pingel,RESOLVED,0,0.001388889,P4,PC,Linux,Mylyn,Bugzilla,minor
206526,10/16/2007 16:15,4/11/2009 10:54,4/11/2009 10:55,steffen.pingel,RESOLVED,0,0.000694444,P3,PC,Windows XP,Mylyn,UI,minor
208089,10/30/2007 14:55,12/11/2007 19:24,4/30/2009 21:31,robert.elves,RESOLVED,0,506.0881944,P2,PC,All,Mylyn,Tasks,enhancement
