Task1,Task2,Proximity_Score,SLDMs,SLSMs,ALs
262799,274914,91.64532836,90,6,28
233158,278494,55.48257717,0,6,4
208089,284172,55.23488709,10,13,4
265565,275777,53.17080312,0,0,0
211096,233158,30.34203439,4,12,18
257977,275777,29.9292176,0,0,0
267143,278569,29.10358401,0,0,8
275029,276232,28.60820385,4,1,0
265565,284172,27.9064153,1,16,0
272757,277507,26.00745805,0,0,1
278708,279316,25.0992611,0,4,9
275029,276942,24.27362751,2,2,0
276232,276942,24.14978247,7,1,0
257977,265565,22.70492369,0,0,0
272207,275777,19.69136109,18,0,0
280805,283629,16.80164353,1,1,1
265565,272207,16.51267178,35,13,9
273355,278684,15.27422139,12,0,1
228910,279316,14.8614046,0,8,2
278552,278872,14.8614046,2,6,1
262799,277405,14.7582004,36,9,19
276232,277191,14.48986948,5,0,1
211096,278485,14.22153857,64,23,68
275029,277191,14.11833437,2,1,0
273100,273296,12.87988399,14,2,5
276942,278331,12.63219391,2,2,2
276232,279544,11.99232788,10,2,4
279316,283740,11.97168704,0,6,0
276233,278552,11.93040536,6,3,3
276942,279544,11.847842,8,2,3
278708,283740,11.57951108,0,4,9
262799,265565,10.69195498,1,0,1
228910,283740,10.4442649,0,8,2
276395,282577,10.4442649,0,3,2
275550,283093,9.907603066,0,0,0
275550,275777,9.907603066,0,0,0
211096,279306,9.536067951,5,1,11
275029,275777,9.412222913,0,1,0
276217,279054,9.391582073,9,0,4
228910,278708,8.359540087,3,5,13
260280,280539,8.17377253,0,5,0
275204,278552,7.926082453,19,2,1
278708,279833,7.719674056,0,4,9
174413,280540,7.4307023,1,2,0
277194,280396,7.224293902,2,0,1
276217,276231,7.224293902,7,2,5
279833,283740,7.059167185,0,6,0
272757,280805,6.811477108,0,4,1
262799,272406,6.708272909,11,1,4
275029,279544,6.522505352,4,2,2
211096,278494,6.501864512,4,2,3
277889,279544,6.398660314,5,2,6
275204,277160,6.274815275,12,3,0
277191,279544,6.089047718,6,1,2
276998,278684,5.90328016,0,0,5
274914,277405,5.882639321,48,11,23
278331,279054,5.490463366,3,4,4
262799,274903,5.449181686,19,3,19
233158,278485,5.449181686,9,22,37
275777,277889,5.449181686,1,0,1
265565,272406,5.325336648,0,1,1
282577,283093,5.20149161,4,4,12
278485,279306,5.16020993,11,2,12
278298,278708,4.953801533,20,6,17
275777,278331,4.953801533,0,1,1
276942,277191,4.829956495,3,2,0
262799,275777,4.829956495,8,0,0
274903,274914,4.788674815,32,3,16
278315,279544,4.768033976,10,4,7
277160,280018,4.706111456,0,1,0
275777,279054,4.706111456,1,3,0
275777,283093,4.623548098,5,0,0
279054,280396,4.561625578,5,1,3
277889,278315,4.561625578,5,2,5
213661,267143,4.540984739,1,3,14
274903,278697,4.45842138,4,1,2
278331,279544,4.45842138,4,4,4
265565,277405,4.334576341,0,9,5
276231,279054,4.231372143,21,2,12
262799,278697,4.210731303,14,1,4
279746,282211,4.210731303,17,7,17
199675,278485,4.190090463,9,2,7
211096,280539,4.128167944,0,13,9
280973,283737,4.086886265,11,23,7
277191,277369,3.963041226,1,0,0
276232,278331,3.963041226,4,1,2
267143,274904,3.963041226,0,6,14
272621,278331,3.901118707,23,10,18
276395,283093,3.839196188,7,5,14
273522,278499,3.797914509,0,10,2
255588,274904,3.756632829,0,10,13
280361,282211,3.632787791,6,12,6
257977,272207,3.632787791,0,0,0
273522,284172,3.591506112,0,12,0
265565,273522,3.591506112,0,10,0
279357,280361,3.467661073,2,5,0
272621,279054,3.467661073,58,13,29
272621,276232,3.343816035,30,7,16
273522,278575,3.323175195,0,0,0
278256,279334,3.302534355,0,6,4
274914,278697,3.199330157,22,1,7
272621,276231,3.178689317,54,12,27
276942,279054,3.137407638,7,4,1
272406,284172,3.096125958,0,0,1
275777,279544,3.096125958,2,1,2
275029,278331,2.99292176,0,2,1
275029,277889,2.99292176,2,1,1
275777,276232,2.99292176,2,0,0
262799,272207,2.97228092,148,2,21
275407,275506,2.97228092,3,1,0
276230,277194,2.97228092,2,1,1
276233,278872,2.97228092,0,1,0
272621,279544,2.889717561,49,15,27
276581,277974,2.848435882,0,2,3
272406,275777,2.848435882,2,0,0
267720,275777,2.807154202,2,0,0
272406,283740,2.786513362,0,2,2
275204,278872,2.786513362,4,1,0
275727,278169,2.786513362,0,0,0
277974,280973,2.745231683,2,5,7
265565,267720,2.745231683,5,1,3
275029,279054,2.724590843,2,5,0
219681,276383,2.724590843,0,0,2
278575,280539,2.683309164,0,6,0
279316,279833,2.683309164,0,6,0
250497,283737,2.642027484,3,14,3
249947,281699,2.642027484,0,0,1
255588,267143,2.600745805,3,8,24
218400,272207,2.600745805,251,48,142
277970,278575,2.580104965,0,2,0
272406,278708,2.559464125,6,1,4
273296,283093,2.559464125,42,1,49
272207,279536,2.476900767,105,7,29
278330,278331,2.456259927,4,1,1
210800,250497,2.414978247,0,14,1
278494,280121,2.414978247,8,2,1
279054,279544,2.373696568,15,5,5
277254,277405,2.373696568,15,12,15
275029,277160,2.373696568,0,3,0
275204,276233,2.353055728,12,3,0
228910,278485,2.311774049,9,16,36
278330,279544,2.311774049,8,1,2
277194,279054,2.270492369,5,1,5
276232,279054,2.270492369,10,3,3
276942,278330,2.22921069,7,1,0
273296,273355,2.22921069,14,0,7
273355,283093,2.22921069,13,2,11
279306,280475,2.22921069,1,1,5
278708,280366,2.22921069,2,1,5
273522,277970,2.22921069,0,0,1
276230,278331,2.22921069,1,2,2
205489,276011,2.22921069,0,0,2
283740,284511,2.22921069,0,2,1
273927,276998,2.22921069,0,0,0
279357,282211,2.167288171,31,14,6
211441,284172,2.167288171,0,17,6
272098,281738,2.146647331,16,18,4
275513,279544,2.146647331,5,1,2
276213,278315,2.146647331,4,0,5
283740,284166,2.146647331,0,3,0
272621,275204,2.064083972,64,6,2
256794,257977,2.043443132,0,4,0
250497,280973,2.043443132,10,14,2
276234,279357,2.043443132,6,2,0
279316,284166,2.043443132,0,3,0
276213,277889,2.043443132,2,2,6
276217,277194,2.043443132,3,0,2
280361,280709,2.022802293,14,5,0
272406,274914,1.981520613,21,2,5
277270,282095,1.981520613,0,0,2
275513,276232,1.981520613,4,0,0
276232,277160,1.981520613,6,1,0
278485,278494,1.981520613,9,6,4
210800,280973,1.857675575,5,17,1
272621,275777,1.857675575,10,2,8
272207,275550,1.857675575,0,0,0
262799,267720,1.816393895,19,0,4
257977,267720,1.816393895,3,0,0
272207,279357,1.775112216,132,16,15
267118,273522,1.733830537,0,0,0
272207,282211,1.733830537,354,34,94
275777,276942,1.671908017,1,1,0
267118,278575,1.651267178,0,0,0
165072,278298,1.651267178,21,2,9
278133,280234,1.651267178,0,0,0
273355,276998,1.651267178,1,0,0
277160,279544,1.651267178,6,2,2
275777,277160,1.651267178,0,1,0
275777,277405,1.651267178,4,0,0
275513,277369,1.651267178,1,0,0
276230,279054,1.651267178,2,4,3
274790,278708,1.651267178,0,1,7
272626,276235,1.630626338,0,0,0
267118,283737,1.589344659,8,14,7
276217,280396,1.589344659,3,0,1
211096,272383,1.589344659,0,0,2
257977,262799,1.568703819,6,0,0
228910,284166,1.48614046,0,3,1
267720,280474,1.48614046,5,0,1
267720,274914,1.48614046,26,3,9
250497,280172,1.48614046,0,4,0
165072,280366,1.48614046,4,0,2
165072,278708,1.48614046,11,1,5
274914,278485,1.48614046,143,11,41
272388,277595,1.48614046,0,0,0
277191,277910,1.48614046,2,0,0
208089,211441,1.48614046,14,18,17
272621,277889,1.48614046,21,8,19
277970,278256,1.48614046,0,2,0
278602,283737,1.48614046,0,10,2
276217,278315,1.48614046,8,1,1
277254,280183,1.444858781,2,10,9
266228,284166,1.444858781,0,2,0
246431,279190,1.444858781,0,1,0
257977,272406,1.444858781,0,0,0
272621,276217,1.444858781,30,5,9
276230,280396,1.444858781,2,1,1
276581,276940,1.403577101,0,1,1
275513,276942,1.403577101,4,1,0
276230,276942,1.403577101,2,2,0
272207,279334,1.403577101,95,29,55
210800,283737,1.362295422,0,17,5
272621,276230,1.341654582,30,3,15
272621,276213,1.341654582,26,8,16
275506,281122,1.341654582,1,0,0
272757,283629,1.341654582,0,1,1
276581,280475,1.300372902,0,3,9
276942,277160,1.300372902,3,2,0
280475,284511,1.300372902,2,2,8
267720,277405,1.238450383,21,1,11
272406,274790,1.238450383,0,0,0
278684,283093,1.238450383,33,1,18
277405,280963,1.238450383,6,5,15
277191,278331,1.238450383,2,1,1
272207,283093,1.238450383,231,0,0
277369,278330,1.238450383,2,0,0
276234,282396,1.238450383,2,1,0
165072,272207,1.197168704,123,19,34
280709,282211,1.197168704,100,22,39
280973,281122,1.155887024,1,5,1
208089,280337,1.155887024,31,4,16
208089,280709,1.155887024,37,18,25
275513,277191,1.155887024,3,0,0
228910,233158,1.135246185,0,10,5
272183,272191,1.135246185,7,4,8
239290,284172,1.135246185,0,2,4
276231,277194,1.135246185,7,2,6
211096,279334,1.135246185,22,11,14
272406,277405,1.114605345,8,1,4
174413,274904,1.114605345,0,1,1
275513,277889,1.114605345,3,0,1
275204,275777,1.114605345,4,1,0
272207,277405,1.114605345,111,21,68
272757,280614,1.114605345,0,0,0
211441,247441,1.114605345,0,3,1
277369,277889,1.073323666,1,0,1
278133,283740,1.052682826,0,2,0
275774,284166,1.052682826,0,1,0
228910,279833,1.032041986,0,8,1
165072,278499,1.032041986,21,4,4
275029,277910,1.032041986,0,2,0
208089,239290,1.032041986,2,3,5
275777,276230,1.032041986,0,1,0
213661,274904,1.032041986,0,3,6
275513,275777,1.032041986,1,0,0
275513,276230,1.032041986,2,1,0
272207,272406,1.032041986,40,3,12
211096,280475,1.032041986,11,3,17
199675,278323,0.990760307,0,0,1
174413,213661,0.990760307,0,1,2
165072,279833,0.990760307,9,2,3
274914,280963,0.990760307,21,10,18
278522,283740,0.990760307,0,4,0
274730,275557,0.990760307,0,1,1
275777,284172,0.990760307,0,0,0
272621,276942,0.990760307,34,3,14
275204,276217,0.990760307,10,1,0
276232,278330,0.990760307,6,0,1
276232,277369,0.990760307,2,0,1
276940,277974,0.928837787,0,0,1
279119,281007,0.928837787,0,0,0
272621,275029,0.928837787,20,4,9
278708,284166,0.928837787,0,2,3
276230,277889,0.928837787,3,1,2
275029,278330,0.908196948,4,1,0
247441,278534,0.908196948,0,5,0
208089,283956,0.908196948,0,0,2
276231,280396,0.908196948,5,2,4
275478,277974,0.908196948,0,1,1
267118,277970,0.866915268,4,1,0
267118,275095,0.866915268,3,0,0
277910,278331,0.866915268,0,1,1
279357,282396,0.866915268,2,5,0
272406,279316,0.866915268,0,2,1
273355,275343,0.866915268,0,0,0
277160,277191,0.866915268,3,1,0
275029,275513,0.866915268,2,1,0
275029,277369,0.866915268,0,1,0
249947,275507,0.866915268,0,1,1
275343,278684,0.866915268,0,0,0
277191,278330,0.866915268,5,0,0
275774,283740,0.866915268,0,2,0
213661,274592,0.866915268,1,0,9
265565,278499,0.866915268,0,16,0
211441,275407,0.866915268,1,6,2
276213,276230,0.866915268,3,1,4
211096,260280,0.866915268,0,5,2
211096,278256,0.866915268,0,7,6
211096,278708,0.866915268,17,3,16
211096,279833,0.866915268,0,4,8
272194,275506,0.825633589,2,0,0
275941,278688,0.825633589,1,0,1
276942,277910,0.825633589,2,1,0
276942,280396,0.825633589,4,1,0
279190,279833,0.825633589,0,2,0
272406,274903,0.825633589,4,1,2
165072,275506,0.825633589,5,2,1
165072,265565,0.825633589,15,4,3
273296,275550,0.825633589,0,0,0
277160,279054,0.825633589,3,6,0
277405,280183,0.825633589,30,14,18
233158,272383,0.825633589,0,0,1
278552,281007,0.825633589,7,0,0
275777,278315,0.825633589,2,2,1
275513,278331,0.825633589,2,1,1
278708,284511,0.825633589,3,1,4
278331,280396,0.825633589,2,1,2
276232,277910,0.825633589,4,0,0
276232,277889,0.825633589,4,1,2
211441,264583,0.825633589,2,6,2
273296,278684,0.804992749,34,1,6
278133,279316,0.804992749,0,2,0
233158,274914,0.804992749,12,8,13
218400,279357,0.804992749,22,10,11
280234,283740,0.74307023,0,2,0
275550,278684,0.74307023,0,0,0
267720,272406,0.74307023,5,0,3
272406,284166,0.74307023,0,1,0
276386,278522,0.74307023,0,1,0
165072,277405,0.74307023,24,2,15
273355,275550,0.74307023,0,0,0
233158,280121,0.74307023,9,3,3
272621,278552,0.74307023,50,2,1
272621,278315,0.74307023,46,12,17
275513,279054,0.74307023,6,3,0
276231,278315,0.74307023,15,2,2
272207,280709,0.74307023,151,36,65
278485,279722,0.74307023,9,5,14
211441,278534,0.74307023,0,9,0
274790,283740,0.74307023,0,2,1
276213,279544,0.74307023,5,2,6
280561,282396,0.72242939,0,1,0
277957,277973,0.72242939,3,4,6
219681,274592,0.72242939,0,1,8
278708,280475,0.72242939,6,2,8
279833,284166,0.72242939,0,3,0
275478,280973,0.72242939,1,3,2
276232,276940,0.72242939,0,0,2
278485,283955,0.72242939,13,8,20
276217,278331,0.72242939,5,0,1
278522,279316,0.701788551,0,4,0
272207,280963,0.701788551,82,25,23
276234,283933,0.701788551,1,0,0
276217,277160,0.701788551,6,0,0
165072,211096,0.681147711,28,2,7
278133,278256,0.681147711,0,0,0
233158,279833,0.681147711,0,7,1
275774,279316,0.681147711,0,2,0
275777,280963,0.681147711,2,0,0
278602,280172,0.681147711,0,1,0
276230,277369,0.681147711,0,1,0
279333,282445,0.681147711,0,0,0
262799,274915,0.660506871,12,2,15
267720,272207,0.660506871,88,6,47
272183,275941,0.660506871,9,0,0
199675,284511,0.660506871,0,0,2
165072,280361,0.660506871,4,4,1
266228,272191,0.660506871,4,2,0
266228,279316,0.660506871,0,3,0
278522,284166,0.660506871,0,2,0
278298,280366,0.660506871,6,2,9
277405,284172,0.660506871,2,12,10
275777,276217,0.660506871,2,0,0
275513,277910,0.660506871,2,0,0
278330,279054,0.660506871,13,3,0
276231,277889,0.660506871,6,2,3
277889,278331,0.660506871,2,2,3
276213,278331,0.660506871,1,3,5
211096,228910,0.660506871,4,7,16
267118,280973,0.619225192,10,11,6
276940,277889,0.619225192,0,0,1
262799,280183,0.619225192,27,5,9
174413,267143,0.619225192,0,1,3
278133,279833,0.619225192,0,2,0
278684,280805,0.619225192,11,0,0
273355,280805,0.619225192,6,0,0
275777,278330,0.619225192,2,0,0
272621,277160,0.619225192,30,5,10
277970,279334,0.619225192,4,5,2
275513,278330,0.619225192,3,0,0
276231,279544,0.619225192,17,3,6
265565,274914,0.619225192,1,3,5
274592,276383,0.619225192,0,0,3
278499,284172,0.619225192,0,20,0
276217,277889,0.619225192,4,1,1
211096,274914,0.619225192,71,7,25
278522,280234,0.598584352,0,1,0
211096,272207,0.598584352,146,47,72
228910,266228,0.577943512,2,3,1
272183,279833,0.577943512,0,13,6
