id,release,task1,task2,coder1_summary_score,coder2_summary_score,coder1_discussion_score,coder2_discussion_score,coder1_conflict_score,coder2_conflict_score,coder1_overlap_score,coder2_overlap_score
1,3.2,276383,280540,Not,Not,Not,Not,Not,Not,No,No
2,3.2,276383,278569,Not,Not,Not,Not,Not,Not,No,No
3,3.2,267118,275095,Somewhat,Not,Somewhat,Somewhat,Not,Not,Some,Some
4,3.2,272191,272194,Not,Not,Not,Not,Not,Not,No,No
5,3.2,272191,280234,Not,Not,Not,Not,Not,Not,No,No
6,3.2,272191,276651,Not,Not,Not,Not,Not,Not,No,No
7,3.2,272191,272406,Not,Not,Not,Not,Not,Not,No,No
8,3.2,272191,274904,Not,Not,Not,Not,Not,Not,No,No
9,3.2,272191,278298,Not,Not,Not,Not,Not,Not,No,No
10,3.2,272191,277401,Not,Not,Somewhat,Not,Possible,Not,No,No
11,3.2,272191,276011,Somewhat,Somewhat,Somewhat,Not,Not,Not,No,No
12,3.2,272191,284172,Not,Not,Not,Not,Not,Not,No,No
13,3.2,272191,278708,Not,Not,Not,Not,Not,Not,No,No
14,3.2,272191,273522,Not,Not,Not,Not,Not,Not,No,No
15,3.2,272191,274790,Not,Not,Not,Not,Not,Not,Some,No
16,3.2,272194,280234,Not,Not,Not,Not,Not,Not,No,No
17,3.2,272194,276651,Not,Not,Not,Not,Not,Not,No,No
18,3.2,272194,272406,Somewhat,Not,Not,Not,Not,Not,Some,Some
19,3.2,272194,274904,Not,Not,Not,Not,Not,Not,No,No
20,3.2,272194,278298,Not,Not,Not,Not,Not,Not,No,No
21,3.2,272194,277401,Not,Not,Not,Not,Not,Not,No,No
22,3.2,272194,276011,Not,Not,Somewhat,Not,Not,Not,No,No
23,3.2,272194,284172,Not,Not,Not,Not,Not,Not,No,No
24,3.2,272194,278708,Not,Not,Not,Not,Not,Not,No,No
25,3.2,272194,273522,Not,Not,Somewhat,Not,Possible,Not,No,No
26,3.2,272194,274790,Not,Not,Not,Not,Not,Not,No,No
27,3.2,276581,277974,Not,Not,Not,Not,Not,Not,Some,Significant
28,3.2,276942,279054,Not,Not,Not,Not,Possible,Not,Some,Some
29,3.2,276942,279544,Not,Not,Not,Not,Not,Not,Some,No
30,3.2,276942,277191,Somewhat,Not,Not,Not,Possible,Not,Some,Some
31,3.2,276942,278330,Somewhat,Not,Not,Somewhat,Not,Not,Some,Some
32,3.2,276942,278331,Somewhat,Somewhat,Somewhat,Not,Possible,Not,Some,Significant
33,3.2,280234,284172,Not,Not,Not,Not,Not,Not,No,No
34,3.2,262799,272406,Somewhat,Not,Somewhat,Not,Possible,Not,Some,Some
35,3.2,262799,278697,Not,Somewhat,Not,Somewhat,Not,Possible,Some,Some
36,3.2,262799,274914,Somewhat,Not,Somewhat,Somewhat,Not,Possible,Some,Significant
37,3.2,262799,274903,Somewhat,Somewhat,Somewhat,Not,Possible,Not,Significant,Significant
38,3.2,262799,277405,Not,Not,Not,Not,Not,Not,Some,Some
39,3.2,262799,275777,Not,Not,Not,Not,Not,Not,No,No
40,3.2,262799,265565,Somewhat,Not,Not,Not,Not,Not,No,No
41,3.2,262799,272207,Not,Not,Not,Not,Not,Not,No,No
42,3.2,279382,281738,Not,Not,Not,Not,Not,Not,No,No
43,3.2,279382,280973,Not,Not,Not,Not,Not,Not,No,No
44,3.2,279382,280832,Not,Not,Not,Not,Not,Not,No,No
45,3.2,228910,278708,Not,Not,Not,Not,Not,Not,Some,No
46,3.2,228910,278485,Somewhat,Somewhat,Not,Somewhat,Possible,Not,Significant,Some
47,3.2,228910,279316,Somewhat,Somewhat,Not,Not,Not,Not,Some,Some
48,3.2,228910,283740,Somewhat,Not,Not,Not,Possible,Not,Significant,Significant
49,3.2,275550,283093,Not,Not,Not,Not,Not,Not,No,No
50,3.2,275550,275777,Not,Not,Not,Not,Not,Not,No,No
51,3.2,276383,276940,Not,Not,Not,Not,Not,Not,No,No
52,3.2,276383,276581,Not,Not,Not,Not,Not,Not,No,No
53,3.2,276383,276942,Not,Not,Not,Not,Not,Not,No,No
54,3.2,276383,280234,Not,Not,Not,Not,Not,Not,No,Significant
55,3.2,276383,283528,Not,Not,Not,Not,Not,Not,No,No
56,3.2,276383,279382,Not,Not,Not,Not,Not,Not,No,No
57,3.2,276383,280016,Not,Not,Not,Not,Not,Not,No,No
58,3.2,276383,280018,Not,Not,Not,Not,Not,Not,No,No
59,3.2,276383,277918,Not,Not,Not,Not,Not,Not,No,No
60,3.2,276383,279190,Not,Not,Not,Not,Not,Not,No,Significant
61,3.2,276383,277910,Not,Not,Not,Not,Not,Not,No,No
